Id;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;ENGLANTI;Ryhmät_ruo;
104;Sorsat;Ducks;Anatidae;Pilkkasiipi;Svärta;MELFUS;Melanitta fusca;A;Velvet Scoter;Änder;
105;Sorsat;Ducks;Anatidae;Pilkkasiipi (alalaji fusca);Svärta (rasen fusca);MELFUSFUS;Melanitta fusca fusca;R;Velvet Scoter (subspecies fusca);Änder;
106;Sorsat;Ducks;Anatidae;Kyhmypilkkasiipi;Knölsvärta;MELDEG;Melanitta deglandi;A;White-winged Scoter;Änder;
107;Sorsat;Ducks;Anatidae;Kyhmypilkkasiipi (alalaji stejnegeri);Knölsvärta (rasen stejnegeri);MELDEGSTE;Melanitta deglandi stejnegeri;R;White-winged Scoter (subspecies stejnegeri);Änder;
108;Sorsat;Ducks;Anatidae;Pikkutelkkä;Buffelhuvud;BUCALB;Bucephala albeola;D;Bufflehead;Änder;
109;Sorsat;Ducks;Anatidae;Telkkä;Knipa;BUCCLA;Bucephala clangula;A;Common Goldeneye;Änder;
110;Sorsat;Ducks;Anatidae;Telkkä X uivelo;Knipa X salskrake;BUCCLAXMERALB;Bucephala clangula x Mergus albellus;X;Common Goldeneye X Smew;Änder;
111;Sorsat;Ducks;Anatidae;Koskelolaji;Mergus (släktet);MERSP;Mergus sp;S;Mergus (genus);Änder;
112;Sorsat;Ducks;Anatidae;Harjakoskelo;Kamskrake;MERCUC;Mergus cucullatus;D;Hooded Merganser;Änder;
113;Sorsat;Ducks;Anatidae;Uivelo;Salskrake;MERALB;Mergellus albellus;A;Smew;Änder;
114;Sorsat;Ducks;Anatidae;Tukkakoskelo;Småskrake;MERSER;Mergus serrator;A;Red-breasted Merganser;Änder;
115;Sorsat;Ducks;Anatidae;Tukkakoskelo / isokoskelo;Småskrake / storskrake;MERSER/MERMER;Mergus serrator/merganser;S;Red-breasted Merganser / Goosander;Änder;
116;Sorsat;Ducks;Anatidae;Isokoskelo;Storskrake;MERMER;Mergus merganser;A;Goosander;Änder;
117;Sorsat;Ducks;Anatidae;Kuparisorsalaji;Oxyura (släktet);OXYSP;Oxyura sp;S;Oxyura (genus);Änder;
118;Sorsat;Ducks;Anatidae;Kuparisorsa;Amerikansk kopparand;OXYJAM;Oxyura jamaicensis;C;Ruddy Duck;Änder;
119;Sorsat;Ducks;Anatidae;Vesilinturisteymä;Sjöfågelhybrid;XV;x Vesilinturisteymä;X;Hybrid Waterfowl;Änder;
120;Sorsat;Ducks;Anatidae;Vesilintu;Sjöfågel;V;V;S;Waterfowl;Änder;
121;Sorsat;Ducks;Anatidae;Iso vesilintu;Stor sjöfågel;IV;IV;S;Large waterfowl;Änder;
122;Sorsat;Ducks;Anatidae;Pieni vesilintu;Liten sjöfågel;PV;PV;S;Small waterfowl;Änder;
123;Metsäkanat;Grouse;Tetraonidae;Pyy;Järpe;BONBON;Bonasa bonasia;A;Hazel Grouse;Skogshöns;
124;Metsäkanat;Grouse;Tetraonidae;Riekkolaji;Lagopus (släktet);LAGSP;Lagopus sp;S;Lagopus (genus);Skogshöns;
125;Metsäkanat;Grouse;Tetraonidae;Riekko;Dalripa;LAGLAG;Lagopus lagopus;A;Willow Grouse;Skogshöns;
126;Metsäkanat;Grouse;Tetraonidae;Kiiruna;Fjällripa;LAGMUT;Lagopus muta;A;Rock Ptarmigan;Skogshöns;
127;Metsäkanat;Grouse;Tetraonidae;Metsolaji;Tetrao (släktet);TETSP;Tetrao sp;S;Tetrao (genus);Skogshöns;
128;Metsäkanat;Grouse;Tetraonidae;Teeri;Orre;TETRIX;Tetrao tetrix;A;Black Grouse;Skogshöns;
129;Metsäkanat;Grouse;Tetraonidae;Teeri X metso;Orre X tjäder;TETRIXXTETURO;Tetrao tetrix x urogallus;X;Black Grouse X Western Capercaillie;Skogshöns;
130;Metsäkanat;Grouse;Tetraonidae;Metso;Tjäder;TETURO;Tetrao urogallus;A;Western Capercaillie;Skogshöns;
131;Aitokanat;Pheasants, Fowl;Phasianidae;Vuoripyy;Berghöna;ALECHU;Alectoris chukar;E;Chukar Partridge;Fälthöns;
132;Aitokanat;Pheasants, Fowl;Phasianidae;Peltopyy;Rapphöna;PERPER;Perdix perdix;A;Grey Partridge;Fälthöns;
133;Aitokanat;Pheasants, Fowl;Phasianidae;Viiriäislaji;Coturnix (släktet);COTSP;Coturnix sp;S;Coturnix (genus);Fälthöns;
134;Aitokanat;Pheasants, Fowl;Phasianidae;Viiriäinen;Vaktel;COTCOT;Coturnix coturnix;A;Common Quail;Fälthöns;
135;Aitokanat;Pheasants, Fowl;Phasianidae;Japaninviiriäinen;Japansk vaktel;COTJAP;Coturnix japonicus;E;Japanese Quail;Fälthöns;
136;Aitokanat;Pheasants, Fowl;Phasianidae;Fasaani;Fasan;PHACOL;Phasianus colchicus;C;Common Pheasant;Fälthöns;
137;Aitokanat;Pheasants, Fowl;Phasianidae;Kultafasaani;Guldfasan;CHRPIC;Chrysolophus pictus;E;Golden Pheasant;Fälthöns;
138;Helmikanat;Guineafowl;Numididae;Helmikana;Hjälmpärlhöna;NUMMEL;Numida meleagris;E;Helmeted Guineafowl;Pärlshöns;
139;Kuikat;Divers;Gaviidae;Kuikkalaji;Gavia (släktet);GAVSP;Gavia sp;S;Gavia (genus);Lommar;
140;Kuikat;Divers;Gaviidae;Kaakkuri;Smålom;GAVSTE;Gavia stellata;A;Red-throated Diver;Lommar;
141;Kuikat;Divers;Gaviidae;Kuikka;Storlom;GAVARC;Gavia arctica;A;Black-throated Diver;Lommar;
142;Kuikat;Divers;Gaviidae;Tundrakuikka;Stillahavslom;GAVPAC;Gavia pacifica;A;Pacific Diver;Lommar;
143;Kuikat;Divers;Gaviidae;Amerikanjääkuikka;Svartnäbbad islom;GAVIMM;Gavia immer;A;Great Northern Diver;Lommar;
144;Kuikat;Divers;Gaviidae;Amerikanjääkuikka / jääkuikka;Svartnäbbad islom / vitnäbbad islom;GAVIMM/GAVADA;Gavia immer/adamsii;S;Great Northern / White-billed Diver;Lommar;
145;Kuikat;Divers;Gaviidae;Jääkuikka;Vitnäbbad islom;GAVADA;Gavia adamsii;A;White-billed Diver;Lommar;
146;Uikut;Grebes;Podicipedidae;Pikku-uikku;Smådopping;TACRUF;Tachybaptus ruficollis;A;Little Grebe;Doppingar;
147;Uikut;Grebes;Podicipedidae;Uikkulaji;Podiceps (släktet);PODSP;Podiceps sp;S;Podiceps (genus);Doppingar;
148;Uikut;Grebes;Podicipedidae;Silkkiuikku;Skäggdopping;PODCRI;Podiceps cristatus;A;Great Crested Grebe;Doppingar;
149;Uikut;Grebes;Podicipedidae;Silkkiuikku / härkälintu;Skäggdopping / gråhakedopping;PODCRI/PODGRI;Podiceps cristatus/grisegena;S;Great Crested / Red-necked Grebe;Doppingar;
150;Uikut;Grebes;Podicipedidae;Härkälintu;Gråhakedopping;PODGRI;Podiceps grisegena;A;Red-necked Grebe;Doppingar;
151;Uikut;Grebes;Podicipedidae;Mustakurkku-uikku;Svarthakedopping;PODAUR;Podiceps auritus;A;Slavonian Grebe;Doppingar;
152;Uikut;Grebes;Podicipedidae;Mustakurkku-uikku / mustakaulauikku;Svarthakedopping / svarthalsad dopping;PODAUR/PODNIG;Podiceps auritus/nigricollis;S;Slavonian / Black-necked Grebe;Doppingar;
153;Uikut;Grebes;Podicipedidae;Mustakaulauikku;Svarthalsad dopping;PODNIG;Podiceps nigricollis;A;Black-necked Grebe;Doppingar;
154;Ulappaliitäjät;Petrels, Shearwater;Procellariidae;Myrskylintu;Stormfågel;FULGLA;Fulmarus glacialis;A;Northern Fulmar;Stormfåglar;
155;Ulappaliitäjät;Petrels, Shearwater;Procellariidae;Liitäjälaji;Puffinus (släktet);PUFSP;Puffinus sp;S;Puffinus (genus);Stormfåglar;
156;Ulappaliitäjät;Petrels, Shearwater;Procellariidae;Nokiliitäjä;Grålira;PUFGRI;Puffinus griseus;A;Sooty Shearwater;Stormfåglar;
157;Ulappaliitäjät;Petrels, Shearwater;Procellariidae;Nokiliitäjä / pikkuliitäjä;Grålira / mindre lira;PUFGRI/PUFPUF;Puffinus griseus/puffinus;S;Sooty / Manx Shearwater;Stormfåglar;
158;Ulappaliitäjät;Petrels, Shearwater;Procellariidae;Pikkuliitäjä;Mindre lira;PUFPUF;Puffinus puffinus;A;Manx Shearwater;Stormfåglar;
159;Ulappakeijut;Storm Petrels;Hydrobatidae;Merikeiju;Stormsvala;HYDPEL;Hydrobates pelagicus;A;European Storm Petrel;Stormsvalor;
160;Ulappakeijut;Storm Petrels;Hydrobatidae;Merikeiju / myrskykeiju / madeirankeiju;Stormsvala / klykstjärtad stormsvala / oceanlöpare;HYDPEL/OCELEU/OCECAS;Hydrobates/Oceanodroma;S;European / Leach's / Band-rumped Storm Petrel;Stormsvalor;
161;Ulappakeijut;Storm Petrels;Hydrobatidae;Keijulaji;Oceanodroma (släktet);OCEMASP;Oceanodroma sp;S;Oceanodroma (genus);Stormsvalor;
162;Ulappakeijut;Storm Petrels;Hydrobatidae;Myrskykeiju;Klykstjärtad stormsvala;OCELEU;Oceanodroma leucorhoa;A;Leach's Storm Petrel;Stormsvalor;
163;Ulappakeijut;Storm Petrels;Hydrobatidae;Madeirankeiju;Oceanlöpare;OCECAS;Oceanodroma castro;A;Band-rumped Storm Petrel;Stormsvalor;
164;Suulat;Gannets;Sulidae;Suula;Havssula;MORBAS;Morus bassanus;A;Northern Gannet;Sulor;
