;Ryhmät;Ryhmät_eng;Ryhmät_tiet;SUOMI;RUOTSI;LYHENNE;TIETEELLINEN;KATEGORIA;
105;Sorsat;Ducks;Anatidae;Pilkkasiipi (alalaji fusca);Svärta (rasen fusca);MELFUSFUS;Melanitta fusca fusca;R;
106;Sorsat;Ducks;Anatidae;Kyhmypilkkasiipi;Knölsvärta;MELDEG;Melanitta deglandi;A;
107;Sorsat;Ducks;Anatidae;Kyhmypilkkasiipi (alalaji stejnegeri);Knölsvärta (rasen stejnegeri);MELDEGSTE;Melanitta deglandi stejnegeri;R;
108;Sorsat;Ducks;Anatidae;Pikkutelkkä;Buffelhuvud;BUCALB;Bucephala albeola;D;
109;Sorsat;Ducks;Anatidae;Telkkä;Knipa;BUCCLA;Bucephala clangula;A;
110;Sorsat;Ducks;Anatidae;Telkkä X uivelo;Knipa X salskrake;BUCCLAXMERALB;Bucephala clangula x Mergus albellus;X;
111;Sorsat;Ducks;Anatidae;Koskelolaji;Mergus (släktet);MERSP;Mergus sp;S;
112;Sorsat;Ducks;Anatidae;Harjakoskelo;Kamskrake;MERCUC;Mergus cucullatus;D;
113;Sorsat;Ducks;Anatidae;Uivelo;Salskrake;MERALB;Mergellus albellus;A;
114;Sorsat;Ducks;Anatidae;Tukkakoskelo;Småskrake;MERSER;Mergus serrator;A;
115;Sorsat;Ducks;Anatidae;Tukkakoskelo / isokoskelo;Småskrake / storskrake;MERSER/MERMER;Mergus serrator/merganser;S;
116;Sorsat;Ducks;Anatidae;Isokoskelo;Storskrake;MERMER;Mergus merganser;A;
117;Sorsat;Ducks;Anatidae;Kuparisorsalaji;Oxyura (släktet);OXYSP;Oxyura sp;S;
118;Sorsat;Ducks;Anatidae;Kuparisorsa;Amerikansk kopparand;OXYJAM;Oxyura jamaicensis;C;
119;Sorsat;Ducks;Anatidae;Vesilinturisteymä;Sjöfågelhybrid;XV;x Vesilinturisteymä;X;
120;Sorsat;Ducks;Anatidae;Vesilintu;Sjöfågel;V;V;S;
121;Sorsat;Ducks;Anatidae;Iso vesilintu;Stor sjöfågel;IV;IV;S;
122;Sorsat;Ducks;Anatidae;Pieni vesilintu;Liten sjöfågel;PV;PV;S;
123;Metsäkanat;Grouse;Tetraonidae;Pyy;Järpe;BONBON;Bonasa bonasia;A;
124;Metsäkanat;Grouse;Tetraonidae;Riekkolaji;Lagopus (släktet);LAGSP;Lagopus sp;S;
125;Metsäkanat;Grouse;Tetraonidae;Riekko;Dalripa;LAGLAG;Lagopus lagopus;A;
126;Metsäkanat;Grouse;Tetraonidae;Kiiruna;Fjällripa;LAGMUT;Lagopus muta;A;
127;Metsäkanat;Grouse;Tetraonidae;Metsolaji;Tetrao (släktet);TETSP;Tetrao sp;S;
128;Metsäkanat;Grouse;Tetraonidae;Teeri;Orre;TETRIX;Tetrao tetrix;A;
129;Metsäkanat;Grouse;Tetraonidae;Teeri X metso;Orre X tjäder;TETRIXXTETURO;Tetrao tetrix x urogallus;X;
130;Metsäkanat;Grouse;Tetraonidae;Metso;Tjäder;TETURO;Tetrao urogallus;A;
131;Aitokanat;Pheasants, Fowl;Phasianidae;Vuoripyy;Berghöna;ALECHU;Alectoris chukar;E;
132;Aitokanat;Pheasants, Fowl;Phasianidae;Peltopyy;Rapphöna;PERPER;Perdix perdix;A;
133;Aitokanat;Pheasants, Fowl;Phasianidae;Viiriäislaji;Coturnix (släktet);COTSP;Coturnix sp;S;
134;Aitokanat;Pheasants, Fowl;Phasianidae;Viiriäinen;Vaktel;COTCOT;Coturnix coturnix;A;
135;Aitokanat;Pheasants, Fowl;Phasianidae;Japaninviiriäinen;Japansk vaktel;COTJAP;Coturnix japonicus;E;
136;Aitokanat;Pheasants, Fowl;Phasianidae;Fasaani;Fasan;PHACOL;Phasianus colchicus;C;
137;Aitokanat;Pheasants, Fowl;Phasianidae;Kultafasaani;Guldfasan;CHRPIC;Chrysolophus pictus;E;
138;Helmikanat;Guineafowl;Numididae;Helmikana;Hjälmpärlhöna;NUMMEL;Numida meleagris;E;
139;Kuikat;Divers;Gaviidae;Kuikkalaji;Gavia (släktet);GAVSP;Gavia sp;S;
140;Kuikat;Divers;Gaviidae;Kaakkuri;Smålom;GAVSTE;Gavia stellata;A;
141;Kuikat;Divers;Gaviidae;Kuikka;Storlom;GAVARC;Gavia arctica;A;
142;Kuikat;Divers;Gaviidae;Tundrakuikka;Stillahavslom;GAVPAC;Gavia pacifica;A;
143;Kuikat;Divers;Gaviidae;Amerikanjääkuikka;Svartnäbbad islom;GAVIMM;Gavia immer;A;
144;Kuikat;Divers;Gaviidae;Amerikanjääkuikka / jääkuikka;Svartnäbbad islom / vitnäbbad islom;GAVIMM/GAVADA;Gavia immer/adamsii;S;
145;Kuikat;Divers;Gaviidae;Jääkuikka;Vitnäbbad islom;GAVADA;Gavia adamsii;A;
146;Uikut;Grebes;Podicipedidae;Pikku-uikku;Smådopping;TACRUF;Tachybaptus ruficollis;A;
147;Uikut;Grebes;Podicipedidae;Uikkulaji;Podiceps (släktet);PODSP;Podiceps sp;S;
148;Uikut;Grebes;Podicipedidae;Silkkiuikku;Skäggdopping;PODCRI;Podiceps cristatus;A;
149;Uikut;Grebes;Podicipedidae;Silkkiuikku / härkälintu;Skäggdopping / gråhakedopping;PODCRI/PODGRI;Podiceps cristatus/grisegena;S;
150;Uikut;Grebes;Podicipedidae;Härkälintu;Gråhakedopping;PODGRI;Podiceps grisegena;A;
151;Uikut;Grebes;Podicipedidae;Mustakurkku-uikku;Svarthakedopping;PODAUR;Podiceps auritus;A;
152;Uikut;Grebes;Podicipedidae;Mustakurkku-uikku / mustakaulauikku;Svarthakedopping / svarthalsad dopping;PODAUR/PODNIG;Podiceps auritus/nigricollis;S;
153;Uikut;Grebes;Podicipedidae;Mustakaulauikku;Svarthalsad dopping;PODNIG;Podiceps nigricollis;A;
154;Ulappaliitäjät;Petrels, Shearwater;Procellariidae;Myrskylintu;Stormfågel;FULGLA;Fulmarus glacialis;A;
155;Ulappaliitäjät;Petrels, Shearwater;Procellariidae;Liitäjälaji;Puffinus (släktet);PUFSP;Puffinus sp;S;
156;Ulappaliitäjät;Petrels, Shearwater;Procellariidae;Nokiliitäjä;Grålira;PUFGRI;Puffinus griseus;A;
157;Ulappaliitäjät;Petrels, Shearwater;Procellariidae;Nokiliitäjä / pikkuliitäjä;Grålira / mindre lira;PUFGRI/PUFPUF;Puffinus griseus/puffinus;S;
158;Ulappaliitäjät;Petrels, Shearwater;Procellariidae;Pikkuliitäjä;Mindre lira;PUFPUF;Puffinus puffinus;A;
159;Ulappakeijut;Storm Petrels;Hydrobatidae;Merikeiju;Stormsvala;HYDPEL;Hydrobates pelagicus;A;
160;Ulappakeijut;Storm Petrels;Hydrobatidae;Merikeiju / myrskykeiju / madeirankeiju;Stormsvala / klykstjärtad stormsvala / oceanlöpare;HYDPEL/OCELEU/OCECAS;Hydrobates/Oceanodroma;S;
161;Ulappakeijut;Storm Petrels;Hydrobatidae;Keijulaji;Oceanodroma (släktet);OCEMASP;Oceanodroma sp;S;
162;Ulappakeijut;Storm Petrels;Hydrobatidae;Myrskykeiju;Klykstjärtad stormsvala;OCELEU;Oceanodroma leucorhoa;A;
163;Ulappakeijut;Storm Petrels;Hydrobatidae;Madeirankeiju;Oceanlöpare;OCECAS;Oceanodroma castro;A;
164;Suulat;Gannets;Sulidae;Suula;Havssula;MORBAS;Morus bassanus;A;
165;Merimetsot;Cormorants;Phalacrocoracidae;Merimetsolaji;Phalacrocorax (släktet);PHAAXSP;Phalacrocorax sp;S;
166;Merimetsot;Cormorants;Phalacrocoracidae;Merimetso;Storskarv;PHACAR;Phalacrocorax carbo;A;
167;Merimetsot;Cormorants;Phalacrocoracidae;Merimetso (alalaji carbo);Storskarv (rasen carbo);PHACARCAR;Phalacrocorax carbo carbo;R;
168;Merimetsot;Cormorants;Phalacrocoracidae;Merimetso (alalaji sinensis);Storskarv (rasen sinensis);PHACARSIN;Phalacrocorax carbo sinensis;R;
169;Merimetsot;Cormorants;Phalacrocoracidae;Karimetso;Toppskarv;PHAARI;Phalacrocorax aristotelis;A;
170;Pelikaanit;Pelicans;Pelecanidae;Pelikaanilaji;Pelecanus (släktet);PELECSP;Pelecanus sp;S;
171;Pelikaanit;Pelicans;Pelecanidae;Pelikaani;Vit pelikan;PELONO;Pelecanus onocrotalus;B;
172;Haikarat;Herons, Bitterns;Ardeidae;Kaulushaikaralaji;Botaurus (släktet);BOTSP;Botaurus sp;S;
173;Haikarat;Herons, Bitterns;Ardeidae;Kaulushaikara;Rördrom;BOTSTE;Botaurus stellaris;A;
174;Haikarat;Herons, Bitterns;Ardeidae;Pikkuhaikara;Dvärgrördrom;IXOMIN;Ixobrychus minutus;A;
175;Haikarat;Herons, Bitterns;Ardeidae;Yöhaikara;Natthäger;NYCNYC;Nycticorax nycticorax;A;
176;Haikarat;Herons, Bitterns;Ardeidae;Rääkkähaikaralaji;Ardeola (släktet);ARDEOSP;Ardeola sp;S;
177;Haikarat;Herons, Bitterns;Ardeidae;Rääkkähaikara;Rallhäger;ARDRAL;Ardeola ralloides;A;
178;Haikarat;Herons, Bitterns;Ardeidae;Kiinanriisihaikara;Bacchushäger;ARDBAC;Ardeola bacchus;E;
179;Haikarat;Herons, Bitterns;Ardeidae;Lehmähaikara;Kohäger;BUBIBI;Bubulcus ibis;A;
180;Haikarat;Herons, Bitterns;Ardeidae;Egretta (suku);Egretta (släktet);EGRSP;Egretta sp;S;
181;Haikarat;Herons, Bitterns;Ardeidae;Silkkihaikara;Silkeshäger;EGRGAR;Egretta garzetta;A;
182;Haikarat;Herons, Bitterns;Ardeidae;Jalohaikara;ägretthäger;EGRALB;Egretta alba;A;
183;Haikarat;Herons, Bitterns;Ardeidae;Harmaahaikaralaji;Ardea (släktet);ARDSP;Ardea sp;S;
184;Haikarat;Herons, Bitterns;Ardeidae;Harmaahaikara;Gråhäger;ARDCIN;Ardea cinerea;A;
185;Haikarat;Herons, Bitterns;Ardeidae;Ruskohaikara;Purpurhäger;ARDPUR;Ardea purpurea;A;
186;Kattohaikarat;Storks;Ciconiidae;Kattohaikaralaji;Ciconia (släktet);CICSP;Ciconia sp;S;
187;Kattohaikarat;Storks;Ciconiidae;Mustahaikara;Svart stork;CICNIG;Ciconia nigra;A;
188;Kattohaikarat;Storks;Ciconiidae;Savannihaikara;Abdimstork;CICABD;Ciconia abdimii;E;
189;Kattohaikarat;Storks;Ciconiidae;Kattohaikara;Vit stork;CICCIC;Ciconia ciconia;A;
190;;;;Kattohaikara / kurki;Vit stork / trana;CICCIC/GRUGRU;Ciconia ciconia/Grus grus;S;
191;Iibikset;Ibises, Spoonbills;Threskiornithidae;Pronssi-iibis;Bronsibis;PLEFAL;Plegadis falcinellus;A;
192;Iibikset;Ibises, Spoonbills;Threskiornithidae;Kapustahaikara;Skedstork;PLALEU;Platalea leucorodia;A;
193;Flamingot;Flamingos;Phoenicopteridae;Flamingolaji;Phoenicopterus (släktet);PHOUSSP;Phoenicopterus sp;S;
194;Flamingot;Flamingos;Phoenicopteridae;Flamingo;Större flamingo;PHOROS;Phoenicopterus roseus;D;
195;Flamingot;Flamingos;Phoenicopteridae;Pikkuflamingo;Mindre flamingo;PHOMIN;Phoenicopterus minor;E;
196;Flamingot;Flamingos;Phoenicopteridae;Chilenflamingo;Chileflamingo;PHOCHI;Phoenicopterus chilensis;E;
197;Haukat;Kites, Hawks, Eagles;Accipitridae;Mehiläishaukkalaji;Pernis (släktet);PERNISP;Pernis sp;S;
198;Haukat;Kites, Hawks, Eagles;Accipitridae;Mehiläishaukka;Bivråk;PERAPI;Pernis apivorus;A;
199;Haukat;Kites, Hawks, Eagles;Accipitridae;Haarahaukkalaji;Milvus (släktet);MILSP;Milvus sp;S;
200;Haukat;Kites, Hawks, Eagles;Accipitridae;Haarahaukka;Brun glada;MILMIG;Milvus migrans;A;
201;Haukat;Kites, Hawks, Eagles;Accipitridae;Haarahaukka X isohaarahaukka;Brun glada X röd glada;MILMIGXMILMIL;Milvus migrans x milvus;X;
202;Haukat;Kites, Hawks, Eagles;Accipitridae;Isohaarahaukka;Röd glada;MILMIL;Milvus milvus;A;
203;Haukat;Kites, Hawks, Eagles;Accipitridae;Aromerikotka;Bandhavsörn;HALHUS;Haliaeetus leucoryphus;B;
204;Haukat;Kites, Hawks, Eagles;Accipitridae;Merikotka;Havsörn;HALALB;Haliaeetus albicilla;A;
205;Haukat;Kites, Hawks, Eagles;Accipitridae;Kuningasmerikotka;Jättehavsörn;HALPEL;Haliaeetus pelagicus;E;
206;Haukat;Kites, Hawks, Eagles;Accipitridae;Pikkukorppikotka;Smutsgam;NEOPER;Neophron percnopterus;A;
207;Haukat;Kites, Hawks, Eagles;Accipitridae;Korppikotkalaji;Gyps (släktet);GYPSP;Gyps sp;S;
208;Haukat;Kites, Hawks, Eagles;Accipitridae;Hanhikorppikotka;Gåsgam;GYPFUL;Gyps fulvus;A;
209;Haukat;Kites, Hawks, Eagles;Accipitridae;Munkkikorppikotka;Grågam;AEGMON;Aegypius monachus;A;
210;Haukat;Kites, Hawks, Eagles;Accipitridae;Käärmekotka;Ormörn;CIRGAL;Circaetus gallicus;A;
211;Haukat;Kites, Hawks, Eagles;Accipitridae;Suohaukkalaji;Circus (släktet);CIRSP;Circus sp;S;
212;Haukat;Kites, Hawks, Eagles;Accipitridae;Ruskosuohaukka;Brun kärrhök;CIRAER;Circus aeruginosus;A;
213;Haukat;Kites, Hawks, Eagles;Accipitridae;Sinisuohaukka;Blå kärrhök;CIRCYA;Circus cyaneus;A;
