Kunta;place_fi;wgs;ykj;town_sv;place_sv;town_en;place_en;country_fi;country_sv;country_en;organization;org_abbrev
Parikkala;Siikalahti, Kasinniemi, lintutorni;61.5640:29.5604;6831151:3636220;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Siikalahti, lintutorni;61.5610:29.5654;6830818:3636501;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Siikalahti, patotie, lintulava;61.5656:29.5677;6831343:3636601;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Särkisalmi, laituri;61.6012:29.4767;6835118:3631617;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Tiviänlampi;61.5346:29.5479;6827843:3635686;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Uukuniemi, Kumpu, näkötorni;61.7704:29.8266;6854722:3649362;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Uukuniemi, Niukkalan uimaranta;61.7564:29.9003;6853335:3653319;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Uukuniemi, Papinniemi;61.8083:29.9578;6859241:3656087;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Uukuniemi, Suurenjärvenliete;61.7533:29.7967;6852748:3647865;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Parikkala;Uukuniemi, Värtsin Kalasatama;61.8137:30.0423;6860057:3660513;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Rautjärvi;Kivijärvi, Merosenrannan uimaranta;61.4423:29.3773;6817218:3626991;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Rautjärvi;Kokkolanjoki, Uudensillankoski;61.4262:29.3453;6815368:3625345;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Rautjärvi;Lahnanen, lintulava, Simpele;61.4158:29.3601;6814237:3626178;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Rautjärvi;Pitkäjärvi, Kaljusenlampi;61.4655:29.3327;6819716:3624518;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Rautjärvi;Purnujärvi;61.2530:29.1525;6795722:3615697;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Rautjärvi;Simpeleen vesitorni;61.4313:29.3654;6815976:3626398;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Ruokolahti;Kuokkalampi, lintutorni;61.2556:28.9953;6795746:3607251;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Ruokolahti;Savolaisenniemi, Kortevuoren torni;61.3556:28.5858;6806277:3585006;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Ruokolahti;Torsanpään lammakkon lintulava;61.4691:29.0392;6819595:3608865;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Savitaipale;Lavikanlahti, rantalaituri;61.1876:27.7491;6786760:3540461;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Savitaipale;Mäntyperänkylä, lintutorni;61.1542:27.4057;6782872:3522015;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Savitaipale;Rahikkala, Suomalansaari;61.3312:27.8341;6802815:3544828;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Taipalsaari;Kyläniemi, Hentula;61.2801:28.1796;6797410:3563431;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Taipalsaari;Leväsensalmi;61.2106:27.9563;6789464:3551571;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Taipalsaari;Päihäniemi, uimaranta;61.1719:28.3721;6785555:3574008;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Taipalsaari;Rastinniemi, Kyläniemi;61.2803:28.1153;6797374:3559981;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Taipalsaari;Sarviniemi;61.2799:28.0667;6797278:3557378;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Taipalsaari;Suuri Jänkäsalo, Marjaniemi;61.2583:28.1389;6794943:3561290;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Taipalsaari;Vehkataipale, pumppaamo;61.1517:28.2258;6783142:3566174;;;;;Suomi;Finland;Finland;Etelä-Karjalan lintutieteellinen yhdistys ry;EKLY
Alavieska;Akanneva;64.157:24.3967;7120078:3373527;;;;;Suomi;Finland;Finland;Keski-Pohjanmaan Lintutieteellinen Yhdistys ry;KPLY
Alavieska;Alavieskanjärvi;64.1963:24.3527;7124545:3371572;;;;;Suomi;Finland;Finland;Keski-Pohjanmaan Lintutieteellinen Yhdistys ry;KPLY
Alavieska;Pudas;64.1573:24.3481;7120215:3371170;;;;;Suomi;Finland;Finland;Keski-Pohjanmaan Lintutieteellinen Yhdistys ry;KPLY
Haapajärvi;Aholanjärvi;63.8372:25.3541;7082882:3419174;;;;;Suomi;Finland;Finland;Keski-Pohjanmaan Lintutieteellinen Yhdistys ry;KPLY
Haapajärvi;Autioranta, Lassikoski;63.8131:25.2051;7080390:3411767;;;;;Suomi;Finland;Finland;Keski-Pohjanmaan Lintutieteellinen Yhdistys ry;KPLY
Haapajärvi;Isosaari;63.7796:25.2946;7076543:3416074;;;;;Suomi;Finland;Finland;Keski-Pohjanmaan Lintutieteellinen Yhdistys ry;KPLY
Haapajärvi;Karjalahdenranta, Savilahti;63.7338:25.3407;7071372:3418216;;;;;Suomi;Finland;Finland;Keski-Pohjanmaan Lintutieteellinen Yhdistys ry;KPLY
